"","y","DisputedAccountsExcluded","PublicRecordsCount","InstallmentBalance","RealEstateBalance","RevolvingBalance","PastDueAmount","MonthlyPayment","RealEstatePayment","RevolvingAvailablePercent","TotalInquiries","InquiriesDuringLast6Months","TotalTradeItems","PaidAccounts","SatisfactoryAccounts","NowDelinquentDerog","PctNegTradesNow","PctNegTradesWas","PctNegTradesTotal","WasDelinquentDerog","OldesttradeopenYearsAgo","DelinquenciesOver30Days","DelinquenciesOver60Days","DelinquenciesOver90Days","DerogCounter","SocialCount","AddressCount","SSN.years.ago","FICO2.SCORE","VantageScore3.SCORE","TIB","SSN.Missing","FICO700","FS1","FS2","FS3","FS4","FS9","FS10","FS11","FS12","FS13","FS16","FS17","FS19","FS20","FS27","BusinessRecordTimeOldest","BusinessRecordTimeNewest","BusinessActivity03Month","BusinessActivity06Month","BusinessActivity12Month","BusinessAddrCount","FirmAgeEstablished","FirmEmployeeCount","FirmReportedSales","FirmReportedEarnings","OrgLocationCount","OrgRelatedCount","OrgLegalEntityCount","OrgAddrLegalEntityCount","SOSTimeIncorporation","SOSTimeAgentChange","SOSEverDefunct","SOSStateCount","BankruptcyCount","BankruptcyCount12Month","BankruptcyCount24Month","BankruptcyTimeNewest","LienCount","LienCount12Month","LienCount24Month","LienTimeNewest","LienTimeOldest","LienDollarTotal","JudgmentCount","JudgmentCount12Month","JudgmentCount24Month","JudgmentTimeNewest","JudgmentTimeOldest","JudgmentDollarTotal","LienJudgmentDollarTotal","AssetPropertyCount","AssetPropertyStateCount","AssetPropertyLotSizeTotal","AssetPropertyAssessedTotal","AssetPropertySqFootageTotal","AssetAircraftCount","AssetWatercraftCount","UCCCount","UCCTimeNewest","UCCTimeOldest","InquiryHighRisk12Month","InquiryHighRisk03Month","InquiryCredit12Month","InquiryCredit03Month","Inquiry12Month","Inquiry03Month","InquiryConsumerAddress","InquiryConsumerPhone","InquiryConsumerAddressSSN","BusExecLinkPropertyOverlapCount","BusExecLinkBusAddrAuthRepOwned","BusExecLinkUtilityOverlapCount","BusExecLinkInquiryOverlapCount","BusExecLinkPropertyOverlapCount2","BusExecLinkBusAddrAuthRep2Owned","BusExecLinkUtilityOverlapCount2","BusExecLinkInquiryOverlapCount2","BusExecLinkPropertyOverlapCount3","BusExecLinkUtilityOverlapCount3","BusExecLinkInquiryOverlapCount3","InputAddrConsumerCount","InputAddrSourceCount","InputAddrLotSize","InputAddrAssessedTotal","InputAddrSqFootage","InputPhoneEntityCount","AssociateCount","AssociateHighCrimeAddrCount","AssociateFelonyCount","AssociateCountWithFelony","AssociateBankruptCount","AssociateCountWithBankruptcy","AssociateBankrupt1YearCount","AssociateLienCount","AssociateCountWithLien","AssociateJudgmentCount","AssociateCountWithJudgment","AssociateHighRiskAddrCount","AssociateWatchlistCount","AssociateBusinessCount","AssociateCityCount","AssociateCountyCount","InputCheckAuthRepPhone","InputCheckAuthRep2FirstName","InputCheckAuthRep2LastName","InputCheckAuthRep2Addr","InputCheckAuthRep2City","InputCheckAuthRep2State","InputCheckAuthRep2SSN","InputCheckAuthRep2Phone","VerificationBusInputName","VerificationBusInputAddr","VerificationBusInputPhone","VerificationBusInputFEIN","BusinessRecordUpdated12Month","FirmIRSRetirementPlan","FirmNonProfit","OrgParentCompany","OrgSingleLocation","SOSForeignStateFlag","BankruptcyChapter","LienType","JudgmentType","GovernmentDebarred","BusExecLinkAuthRepNameOnFile","BusExecLinkAuthRepAddrOnFile","BusExecLinkAuthRepSSNOnFile","BusExecLinkAuthRepPhoneOnFile","BusExecLinkBusNameAuthRepFirst","BusExecLinkBusNameAuthRepLast","BusExecLinkBusNameAuthRepFull","BusExecLinkAuthRepSSNBusFEIN","BusExecLinkAuthRepAddrBusAddr","BusExecLinkAuthRepPhoneBusPhone","BusExecLinkAuthRep2NameOnFile","BusExecLinkAuthRep2AddrOnFile","BusExecLinkAuthRep2PhoneOnFile","BusExecLinkAuthRep2SSNOnFile","BusExecLinkBusNameAuthRep2First","BusExecLinkBusNameAuthRep2Last","BusExecLinkBusNameAuthRep2Full","BusExecLinkAuthRep2SSNBusFEIN","BusExecLinkAuthRep2AddrBusAddr","BusExecLinkAuthRep2PhoneBusPhone","BusFEINPersonOverlap","BusFEINPersonAddrOverlap","BusFEINPersonPhoneOverlap","BusAddrPersonNameOverlap","InputAddrType","InputAddrBusinessOwned","InputPhoneProblems","InputPhoneMobile","IP224_SCORE","IP224_SCOREind","IP224Missing","HRD_SSN2","SSNAddressVariance","SecurityStatementPresent"
"1",0,0,1,91779,0,1743,14559,1167,0,4,19,5,45,14,21,9,0.2,0.333333333,0.533333333,15,19,12,5,14,99,1,2,29,550,516,2.915068493,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,53,6,1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,0,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,3,2,2,3,2,2,3,3,1,2,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,52,2,1,1,1,1
"2",0,0,0,3500,1081559,6375,47410,840,9549,68,55,15,25,18,9,2,0.08,0.56,0.64,14,33,36,29,99,6,5,10,44,537,483,31.70136986,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,308,2,2,4,5,6,31,1,28,-1,4,1,1,1,381,0,0,1,0,0,0,-1,0,0,0,-1,-1,-1,1,0,0,66,66,6172,6171,0,0,0,-1,0,0,0,3,13,213,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,15,10,4356,722467,11134,0,5,0,0,0,6,4,0,0,0,0,0,0,0,16,3,3,1,2,2,2,2,2,1,1,3,4,2,2,3,2,2,3,2,2,2,1,2,2,5,1,4,1,2,2,2,2,1,1,5,4,1,1,2,2,2,1,2,1,3,4,3,3,1,2,6,3,1,2,1,1,1,1
"3",0,0,1,1330,0,3930,0,516,0,73,13,3,16,12,15,0,0,0.0625,0.0625,1,18,0,0,0,6,2,2,38,710,701,11.73424658,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,250,1,3,4,0,3,-1,1,-1,-1,9,1,1,1,150,17,0,1,0,0,0,-1,6,0,1,11,66,123271,0,0,0,-1,-1,-1,123270,1,0,0,71900,0,0,0,6,6,22,0,0,0,0,1,1,1,0,0,0,1,0,4,-1,-1,-1,-1,-1,-1,-1,5,7,280091,322300,2387,0,2,0,0,0,1,1,0,0,0,0,0,0,0,3,1,2,2,1,1,1,1,1,1,1,3,4,4,4,3,2,2,3,2,2,2,5,1,2,3,4,4,3,3,2,2,2,3,3,1,1,1,1,1,1,1,1,1,1,3,3,3,4,2,2,3,3,14,2,1,1,1,1
"4",0,0,1,103838,126569,765,9129,2341,1294,69,43,22,24,10,13,4,0.166666667,0.291666667,0.458333333,7,12,80,16,19,45,19,21,33,588,657,3.915068493,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,48,1,2,2,3,1,0,-1,0,-1,1,1,1,1,27,0,0,1,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,1,1,1,1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,7,4,5438,144345,1429,0,2,0,0,0,0,0,0,0,0,1,1,0,0,2,2,2,1,1,1,1,1,1,1,1,3,4,4,2,3,2,2,3,3,2,2,1,1,2,5,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,2,3,36,2,1,1,1,1
"5",1,0,1,64710,0,7276,990,1583,0,38,13,2,22,13,14,1,0.045454545,0.318181818,0.363636364,7,31,12,4,22,14,0,2,45,521,552,0.909589041,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1
"6",0,0,0,44328,0,692,20829,1116,0,68,8,4,13,3,8,5,0.384615385,0,0.384615385,0,10,3,1,1,99,5,5,33,614,615,0.98630137,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,13,1,2,3,4,3,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,0,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,3,2,4,0,0,0,0,1,0,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,2,3,3,2,3,2,2,3,3,1,2,1,1,2,5,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,2,33,2,1,1,1,1
"7",0,0,0,29929,0,14444,0,1135,0,8,5,2,16,5,15,0,0,0.0625,0.0625,1,10,1,0,0,0,1,2,19,606,588,2.15890411,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,4,1,2,2,2,-1,-1,-1,-1,2,1,1,1,27,0,0,1,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,1,15,15,0,0,0,0,1,1,1,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,6,4,7758,145182,2401,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,1,2,2,2,2,2,1,1,3,4,4,2,3,2,2,3,2,2,2,1,1,2,5,1,4,1,2,2,2,2,1,1,5,4,1,1,2,2,2,1,3,1,3,3,3,3,2,2,6,3,25,2,1,1,1,1
"8",1,0,0,259127,0,2926,0,7608,0,94,14,6,33,23,33,0,0,0,0,0,23,0,0,0,0,5,13,41,705,773,6.994520548,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,145,1,3,4,4,1,0,-1,0,-1,1,1,1,1,84,0,0,1,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,1,1,0,0,0,0,0,28,4,120,0,0,0,0,0,0,1,1,0,0,2,0,0,0,-1,0,0,-1,-1,-1,3,6,1698840,947200,6307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,1,1,3,4,4,2,3,2,2,3,3,2,2,1,1,2,2,1,2,1,3,2,2,2,1,1,2,2,1,1,2,2,2,1,3,1,2,2,2,3,2,3,2,2,34,1,1,1,1,1
"9",0,0,9,12855,0,2444,8280,384,0,59,8,1,16,6,4,8,0.5,0.25,0.75,4,31,9,2,3,99,0,0,43,631,664,3.090410959,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,100,2,2,2,2,1,-1,-1,-1,-1,1,1,1,1,49,0,0,1,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,6,3,37026,936806,1615,3,1,0,0,0,1,1,0,7,1,1,1,0,0,4,1,1,2,1,1,1,1,1,1,1,3,4,4,2,3,2,2,3,3,2,2,1,1,2,5,4,4,4,2,2,2,2,3,2,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,2,2,11,2,1,1,1,1
"10",0,0,0,16816,149035,23971,0,1530,1287,73,7,2,22,11,19,0,0,0.136363636,0.136363636,3,29,3,1,0,0,2,2,39,740,694,7.698630137,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,182,1,2,3,4,1,5,-1,100,-1,1,1,1,1,93,0,0,2,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,0,0,-1,0,0,0,5,18,57,0,0,0,0,1,1,0,0,0,0,2,0,3,-1,-1,-1,-1,-1,-1,-1,2,7,69696,99700,926,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,3,4,4,4,3,2,2,3,3,3,2,1,1,2,5,1,4,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,2,3,3,2,2,1,1,1,1
